Date,All Grades All Formulations,All Grades Reformulated,Regular All Formulations,Regular Reformulated,Midgrade All Formulations,Midgrade Reformulated,Premium All Formulations,Premium Reformulated,
"Jun 05, 2000",1.99,1.99,1.949,1.949,2.059,2.059,2.169,2.169,
"Jun 12, 2000",2.134,2.134,2.091,2.091,2.203,2.203,2.32,2.32,
"Jun 19, 2000",2.148,2.148,2.108,2.108,2.214,2.214,2.32,2.32,
"Jun 26, 2000",2.029,2.029,1.989,1.989,2.093,2.093,2.202,2.202,
"Jul 03, 2000",1.829,1.829,1.786,1.786,1.899,1.899,2.016,2.016,
"Jul 10, 2000",1.73,1.73,1.688,1.688,1.794,1.794,1.912,1.912,
"Jul 17, 2000",1.617,1.617,1.576,1.576,1.678,1.678,1.794,1.794,
"Jul 24, 2000",1.489,1.489,1.45,1.45,1.551,1.551,1.658,1.658,
"Jul 31, 2000",1.391,1.391,1.352,1.352,1.453,1.453,1.559,1.559,
"Aug 07, 2000",1.396,1.396,1.357,1.357,1.459,1.459,1.564,1.564,
"Aug 14, 2000",1.365,1.365,1.327,1.327,1.42,1.42,1.532,1.532,
"Aug 21, 2000",1.408,1.408,1.368,1.368,1.469,1.469,1.579,1.579,
"Aug 28, 2000",1.446,1.446,1.406,1.406,1.509,1.509,1.616,1.616,
"Sep 04, 2000",1.584,1.584,1.545,1.545,1.648,1.648,1.756,1.756,
"Sep 11, 2000",1.574,1.574,1.533,1.533,1.64,1.64,1.751,1.751,
"Sep 18, 2000",1.546,1.546,1.506,1.506,1.61,1.61,1.717,1.717,
"Sep 25, 2000",1.536,1.536,1.496,1.496,1.601,1.601,1.708,1.708,
"Oct 02, 2000",1.511,1.511,1.471,1.471,1.577,1.577,1.678,1.678,
"Oct 09, 2000",1.483,1.483,1.443,1.443,1.547,1.547,1.658,1.658,
"Oct 16, 2000",1.594,1.594,1.556,1.556,1.657,1.657,1.761,1.761,
"Oct 23, 2000",1.555,1.555,1.515,1.515,1.618,1.618,1.728,1.728,
"Oct 30, 2000",1.612,1.612,1.573,1.573,1.678,1.678,1.782,1.782,
"Nov 06, 2000",1.585,1.585,1.546,1.546,1.65,1.65,1.753,1.753,
"Nov 13, 2000",1.55,1.55,1.511,1.511,1.615,1.615,1.721,1.721,
"Nov 20, 2000",1.581,1.581,1.543,1.543,1.647,1.647,1.748,1.748,
"Nov 27, 2000",1.551,1.551,1.511,1.511,1.616,1.616,1.722,1.722,
"Dec 04, 2000",1.523,1.523,1.484,1.484,1.586,1.586,1.693,1.693,
"Dec 11, 2000",1.492,1.492,1.452,1.452,1.559,1.559,1.66,1.66,
"Dec 18, 2000",1.462,1.462,1.421,1.421,1.528,1.528,1.632,1.632,
"Dec 25, 2000",1.455,1.455,1.415,1.415,1.519,1.519,1.623,1.623,
"Jan 01, 2001",1.524,1.524,1.487,1.487,1.586,1.586,1.687,1.687,
"Jan 08, 2001",1.516,1.516,1.477,1.477,1.58,1.58,1.688,1.688,
"Jan 15, 2001",1.607,1.607,1.569,1.569,1.668,1.668,1.772,1.772,
"Jan 22, 2001",1.585,1.585,1.546,1.546,1.644,1.644,1.759,1.759,
"Jan 29, 2001",1.58,1.58,1.541,1.541,1.645,1.645,1.742,1.742,
"Feb 05, 2001",1.541,1.541,1.501,1.501,1.607,1.607,1.711,1.711,
"Feb 12, 2001",1.564,1.564,1.525,1.525,1.628,1.628,1.731,1.731,
"Feb 19, 2001",1.517,1.517,1.477,1.477,1.581,1.581,1.688,1.688,
"Feb 26, 2001",1.466,1.466,1.426,1.426,1.53,1.53,1.639,1.639,
"Mar 05, 2001",1.447,1.447,1.411,1.411,1.508,1.508,1.612,1.612,
"Mar 12, 2001",1.414,1.414,1.374,1.374,1.477,1.477,1.587,1.587,
"Mar 19, 2001",1.448,1.448,1.408,1.408,1.512,1.512,1.618,1.618,
"Mar 26, 2001",1.397,1.397,1.357,1.357,1.46,1.46,1.572,1.572,
"Apr 02, 2001",1.56,1.56,1.52,1.52,1.629,1.629,1.731,1.731,
"Apr 09, 2001",1.684,1.684,1.644,1.644,1.75,1.75,1.851,1.851,
"Apr 16, 2001",1.667,1.667,1.62,1.62,1.745,1.745,1.871,1.871,
"Apr 23, 2001",1.892,1.892,1.853,1.853,1.954,1.954,2.06,2.06,
"Apr 30, 2001",1.873,1.873,1.832,1.832,1.939,1.939,2.046,2.046,
"May 07, 2001",2.011,2.011,1.973,1.973,2.076,2.076,2.18,2.18,
"May 14, 2001",2.088,2.088,2.049,2.049,2.157,2.157,2.252,2.252,
"May 21, 2001",2.017,2.017,1.978,1.978,2.084,2.084,2.181,2.181,
"May 28, 2001",1.972,1.972,1.93,1.93,2.04,2.04,2.147,2.147,
"Jun 04, 2001",1.934,1.934,1.893,1.893,2,2,2.108,2.108,
"Jun 11, 2001",1.843,1.843,1.802,1.802,1.911,1.911,2.019,2.019,
"Jun 18, 2001",1.741,1.741,1.699,1.699,1.809,1.809,1.922,1.922,
"Jun 25, 2001",1.614,1.614,1.572,1.572,1.681,1.681,1.794,1.794,
"Jul 02, 2001",1.479,1.479,1.438,1.438,1.545,1.545,1.653,1.653,
"Jul 09, 2001",1.389,1.389,1.35,1.35,1.45,1.45,1.558,1.558,
"Jul 16, 2001",1.344,1.344,1.305,1.305,1.407,1.407,1.513,1.513,
"Jul 23, 2001",1.459,1.459,1.419,1.419,1.524,1.524,1.629,1.629,
"Jul 30, 2001",1.41,1.41,1.37,1.37,1.475,1.475,1.583,1.583,
"Aug 06, 2001",1.482,1.482,1.443,1.443,1.547,1.547,1.646,1.646,
"Aug 13, 2001",1.562,1.562,1.523,1.523,1.628,1.628,1.728,1.728,
"Aug 20, 2001",1.692,1.692,1.654,1.654,1.756,1.756,1.856,1.856,
"Aug 27, 2001",1.822,1.822,1.785,1.785,1.882,1.882,1.978,1.978,
"Sep 03, 2001",1.921,1.921,1.884,1.884,1.981,1.981,2.079,2.079,
"Sep 10, 2001",1.872,1.872,1.834,1.834,1.934,1.934,2.032,2.032,
"Sep 17, 2001",1.831,1.831,1.793,1.793,1.895,1.895,1.995,1.995,
"Sep 24, 2001",1.77,1.77,1.736,1.736,1.827,1.827,1.915,1.915,
"Oct 01, 2001",1.679,1.679,1.647,1.647,1.734,1.734,1.817,1.817,
"Oct 08, 2001",1.546,1.546,1.517,1.517,1.598,1.598,1.669,1.669,
"Oct 15, 2001",1.461,1.461,1.429,1.429,1.514,1.514,1.595,1.595,
"Oct 22, 2001",1.358,1.358,1.325,1.325,1.41,1.41,1.498,1.498,
"Oct 29, 2001",1.288,1.288,1.255,1.255,1.345,1.345,1.43,1.43,
"Nov 05, 2001",1.238,1.238,1.205,1.205,1.294,1.294,1.381,1.381,
"Nov 12, 2001",1.312,1.312,1.276,1.276,1.373,1.373,1.466,1.466,
"Nov 19, 2001",1.276,1.276,1.24,1.24,1.334,1.334,1.426,1.426,
"Nov 26, 2001",1.217,1.217,1.181,1.181,1.279,1.279,1.373,1.373,
"Dec 03, 2001",1.222,1.222,1.186,1.186,1.281,1.281,1.378,1.378,
"Dec 10, 2001",1.238,1.238,1.202,1.202,1.299,1.299,1.395,1.395,
"Dec 17, 2001",1.143,1.143,1.106,1.106,1.208,1.208,1.296,1.296,
"Dec 24, 2001",1.178,1.178,1.143,1.143,1.237,1.237,1.326,1.326,
"Dec 31, 2001",1.237,1.237,1.203,1.203,1.296,1.296,1.383,1.383,
"Jan 07, 2002",1.218,1.218,1.184,1.184,1.274,1.274,1.364,1.364,
"Jan 14, 2002",1.134,1.134,1.099,1.099,1.194,1.194,1.284,1.284,
"Jan 21, 2002",1.13,1.13,1.095,1.095,1.187,1.187,1.276,1.276,
"Jan 28, 2002",1.128,1.128,1.098,1.098,1.178,1.178,1.256,1.256,
"Feb 04, 2002",1.147,1.147,1.115,1.115,1.198,1.198,1.281,1.281,
"Feb 11, 2002",1.122,1.122,1.094,1.094,1.167,1.167,1.242,1.242,
"Feb 18, 2002",1.169,1.169,1.135,1.135,1.225,1.225,1.312,1.312,
"Feb 25, 2002",1.168,1.168,1.134,1.134,1.226,1.226,1.313,1.313,
"Mar 04, 2002",1.233,1.233,1.201,1.201,1.288,1.288,1.371,1.371,
"Mar 11, 2002",1.315,1.315,1.28,1.28,1.376,1.376,1.466,1.466,
"Mar 18, 2002",1.415,1.415,1.379,1.379,1.476,1.476,1.565,1.565,
"Mar 25, 2002",1.523,1.523,1.487,1.487,1.583,1.583,1.676,1.676,
"Apr 01, 2002",1.505,1.505,1.469,1.469,1.566,1.566,1.656,1.656,
"Apr 08, 2002",1.606,1.606,1.57,1.57,1.666,1.666,1.759,1.759,
"Apr 15, 2002",1.562,1.562,1.528,1.528,1.622,1.622,1.711,1.711,
"Apr 22, 2002",1.531,1.531,1.495,1.495,1.594,1.594,1.687,1.687,
"Apr 29, 2002",1.511,1.511,1.475,1.475,1.571,1.571,1.665,1.665,
"May 06, 2002",1.535,1.535,1.499,1.499,1.593,1.593,1.687,1.687,
"May 13, 2002",1.54,1.54,1.504,1.504,1.602,1.602,1.692,1.692,
"May 20, 2002",1.636,1.636,1.6,1.6,1.695,1.695,1.785,1.785,
"May 27, 2002",1.595,1.595,1.557,1.557,1.662,1.662,1.758,1.758,
"Jun 03, 2002",1.617,1.617,1.58,1.58,1.68,1.68,1.773,1.773,
"Jun 10, 2002",1.582,1.582,1.545,1.545,1.645,1.645,1.741,1.741,
"Jun 17, 2002",1.543,1.543,1.505,1.505,1.607,1.607,1.705,1.705,
"Jun 24, 2002",1.522,1.522,1.484,1.484,1.587,1.587,1.687,1.687,
"Jul 01, 2002",1.511,1.511,1.473,1.473,1.576,1.576,1.672,1.672,
"Jul 08, 2002",1.5,1.5,1.462,1.462,1.564,1.564,1.662,1.662,
"Jul 15, 2002",1.524,1.524,1.488,1.488,1.584,1.584,1.676,1.676,
"Jul 22, 2002",1.515,1.515,1.479,1.479,1.577,1.577,1.671,1.671,
"Jul 29, 2002",1.58,1.58,1.543,1.543,1.644,1.644,1.741,1.741,
"Aug 05, 2002",1.537,1.537,1.5,1.5,1.6,1.6,1.693,1.693,
"Aug 12, 2002",1.503,1.503,1.466,1.466,1.567,1.567,1.662,1.662,
"Aug 19, 2002",1.505,1.505,1.468,1.468,1.567,1.567,1.661,1.661,
"Aug 26, 2002",1.549,1.549,1.512,1.512,1.615,1.615,1.704,1.704,
"Sep 02, 2002",1.516,1.516,1.48,1.48,1.578,1.578,1.669,1.669,
"Sep 09, 2002",1.55,1.55,1.514,1.514,1.614,1.614,1.703,1.703,
"Sep 16, 2002",1.505,1.505,1.468,1.468,1.57,1.57,1.657,1.657,
"Sep 23, 2002",1.549,1.549,1.511,1.511,1.613,1.613,1.709,1.709,
"Sep 30, 2002",1.538,1.538,1.501,1.501,1.604,1.604,1.69,1.69,
"Oct 07, 2002",1.609,1.609,1.575,1.575,1.666,1.666,1.754,1.754,
"Oct 14, 2002",1.564,1.564,1.528,1.528,1.626,1.626,1.719,1.719,
"Oct 21, 2002",1.629,1.629,1.594,1.594,1.688,1.688,1.778,1.778,
"Oct 28, 2002",1.599,1.599,1.563,1.563,1.659,1.659,1.753,1.753,
"Nov 04, 2002",1.583,1.583,1.548,1.548,1.643,1.643,1.735,1.735,
"Nov 11, 2002",1.581,1.581,1.545,1.545,1.644,1.644,1.736,1.736,
"Nov 18, 2002",1.505,1.505,1.468,1.468,1.566,1.566,1.666,1.666,
"Nov 25, 2002",1.451,1.451,1.414,1.414,1.513,1.513,1.605,1.605,
"Dec 02, 2002",1.419,1.419,1.381,1.381,1.483,1.483,1.581,1.581,
"Dec 09, 2002",1.401,1.401,1.365,1.365,1.461,1.461,1.552,1.552,
"Dec 16, 2002",1.417,1.417,1.381,1.381,1.476,1.476,1.571,1.571,
"Dec 23, 2002",1.469,1.469,1.434,1.434,1.524,1.524,1.618,1.618,
"Dec 30, 2002",1.536,1.536,1.502,1.502,1.593,1.593,1.681,1.681,
"Jan 06, 2003",1.509,1.509,1.473,1.473,1.569,1.569,1.661,1.661,
"Jan 13, 2003",1.539,1.539,1.504,1.504,1.595,1.595,1.686,1.686,
"Jan 20, 2003",1.558,1.558,1.521,1.521,1.622,1.622,1.716,1.716,
