,ID,FY,Area,Add1,City,STPostal,NPRZip5,NPRDisasterNo,DisasterDescription,County,Owner,ResType,DamageCat,DateClosed,StrucType,PartOfProj,ProjTitle,ProjID,Status,Action,ProjCounties,Grantee,Subgrantee,Type,NPRDateClosed,NPRPricePaid,NPRLatitude,NPRLongitude,NPRElevation
4222,1925,1993,HMGP,104 FRANKLIN STREET,BUFFALO,IA,52728,0996,SEVERE STORMS & FLOODING,Scott,,,,12/9/1996,,Yes,CITY OF BUFFALO ACQUISITION/ELEVATION,DR-0996-0053-R,Closed,Acquisition,SCOTT,,BUFFALO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/9/1996,,41.45548,-90.7267,558.65
4232,1935,1993,HMGP,106 FRANKLIN,BUFFALO,IA,52728,0996,SEVERE STORMS & FLOODING,Scott,,,,12/9/1996,,Yes,CITY OF BUFFALO ACQUISITION/ELEVATION,DR-0996-0053-R,Closed,Acquisition,SCOTT,,BUFFALO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/9/1996,,41.4563,-90.7233,561.51
4251,1954,1993,HMGP,11304 HWY 99,WAPELLO,IA,52653,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.166057,-91.137801,554.06
4257,1960,1993,HMGP,114 WALNUT,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.280337,-91.361091,610.95
4260,1963,1993,HMGP,116 3RD ST,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.281620000000004,-91.362854,582.08
4291,1994,1993,HMGP,124 5TH ST,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.280617,-91.36525999999999,586.21
4295,1998,1993,HMGP,127 32ND ST,DAVENPORT,IA,52801,0996,SEVERE STORMS & FLOODING,Scott,,,,11/25/1996,,Yes,ACQUISITION/DEMOLITION OF PROPERTIES ALONG MISSISSIPPI,DR-0996-0014-R,Closed,Acquisition,SCOTT,,DAVENPORT,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,11/25/1996,,41.552448999999996,-90.572772,628.8
4302,2005,1993,HMGP,128 32ND ST,DAVENPORT,IA,52801,0996,SEVERE STORMS & FLOODING,Scott,,,,11/25/1996,,Yes,ACQUISITION/DEMOLITION OF PROPERTIES ALONG MISSISSIPPI,DR-0996-0014-R,Closed,Acquisition,SCOTT,,DAVENPORT,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,11/25/1996,,41.552599,-90.572601,628.6
4304,2007,1993,HMGP,128 3RD ST,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.281414,-91.36286,582.28
4320,2023,1993,HMGP,133 5TH ST,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.28125,-91.3652,593.96
