,Academic Year,B-T,C,Captain,Custom Field 1,Event,Events,Full Name,HIGH SCHOOL,HOMETOWN,HT,High School,Hometown,Ht,Ht.,LETTERS,Letters,NAME,NO,Name,No,POS,Pos,Pos.,Wt,Wt.,YR,Year,Yr,Yr.,title
0,,,,,,,,,,,,Rock Island,"Rock Island, Ill.",,,,,,,Jessica Bacon 2,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
1,,,,*,,,,,,,,York,"Elmhurst, Ill.",,,,,,,Kristyn Barton 3,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
2,,,,,,,,,,,,Fremd,"Barrington, Ill.",,,,,,,Nora Bosslet,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
3,,,,,,,,,,,,Kaneland,"Elburn, Ill.",,,,,,,Kris Bowen 2,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
4,,,,,,,,,,,,Grayslake Central,"Grayslake, Ill.",,,,,,,Lydia Boyle 2,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
5,,,,,,,,,,,,Downers Grove North,"Downers Grove, Ill.",,,,,,,Suzie Brashler 1,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
6,,,,,,,,,,,,Palatine,"Kildeer, Ill.",,,,,,,Stephanie Burbidge 2,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
7,,,,,,,,,,,,Lincoln-Way West,"New Lenox, Ill.",,,,,,,Jessica Campbell,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
8,,,,,,,,,,,,International School,"Indianapolis, Ind.",,,,,,,Britton Dallas 2,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
9,,,,,,,,,,,,Downers Grove South,"Downers Grove, Ill.",,,,,,,Katrina Friedrich,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
10,,,,,,,,,,,,Marist,"Orland Park, Ill.",,,,,,,Madeline Gannon,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
11,,,,,,,,,,,,Sycamore,"Sycamore, Ill.",,,,,,,Emma Grandgeorge 3,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
12,,,,,,,,,,,,Oswego,"Oswego, Ill.",,,,,,,Alicia Hughes,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
13,,,,,,,,,,,,Woodstock,"Woodstock, Ill.",,,,,,,Hailey Jacobs 1,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
14,,,,,,,,,,,,Downers Grove South,"Downers Grove, Ill.",,,,,,,Rachel Kelly 2,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
15,,,,,,,,,,,,Portage,"Portage, Wis.",,,,,,,Katie Kornaus 3,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
16,,,,,,,,,,,,Galesburg,"Galesburg, Ill.",,,,,,,Becca Ladner,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
17,,,,,,,,,,,,Wheaton-Warrenville South,"Wheaton, Ill.",,,,,,,Hana Lobsinger 1,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
18,,,,,,,,,,,,Willowbrook,"Villa Park, Ill.",,,,,,,Lizzie Lundine 2,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
19,,,,,,,,,,,,Germany,Regensburg,,,,,,,Tanja Mayrhofer,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
20,,,,,,,,,,,,Sterling,"Sterling, Ill.",,,,,,,Caroline McPherson,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
21,,,,,,,,,,,,Glenbard South,"Glen Ellyn, Ill.",,,,,,,Taylor Mills,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
22,,,,,,,,,,,,Mundelein,"Wauconda, Ill.",,,,,,,Kelsey Moon 3,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
23,,,,,,,,,,,,Neuqua Valley,"Naperville, Ill.",,,,,,,Allison Nagy,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
24,,,,,,,,,,,,St. Francis,"Naperville, Ill.",,,,,,,Lia O'Connor,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
25,,,,,,,,,,,,York,"Elmhurst, Ill.",,,,,,,Kristen O'Malley,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
26,,,,,,,,,,,,Rosary,"Oswego, Ill.",,,,,,,Helen Offerman 1,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
27,,,,,,,,,,,,United Township,"East Moline, Ill.",,,,,,,Amanda Pease 2,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
28,,,,,,,,,,,,Mound Westonka,"Minnetrista, Minn.",,,,,,,Callie Peterson,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
29,,,,,,,,,,,,Mahomet-Seymour,"Mahomet, Ill.",,,,,,,Katie Pittman 2,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
30,,,,,,,,,,,,Wilsonville,"Wilsonville, Ore.",,,,,,,Sophia Ries,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
31,,,,,,,,,,,,Boulder,"Boulder, Colo.",,,,,,,Zoe Robb,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
32,,,,,,,,,,,,Mahomet-Seymour,Mahomet,,,,,,,Rachel Rodriguez 1,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
33,,,,,,,,,,,,St. Charles East,"St. Charles, Ill.",,,,,,,Nikita Rohr,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
34,,,,,,,,,,,,Lisle,"Lisle, Ill.",,,,,,,Sara Ruthberg,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
35,,,,,,,,,,,,Oregon,"Oregon, Ill.",,,,,,,Jeneen Schier 1,,,,,,,,,So.,,2013 Augustana Women\'s Cross Country Roster
36,,,,,,,,,,,,Glenbard North,"Carol Stream, Ill.",,,,,,,Ellie Schwetz,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
37,,,,,,,,,,,,La Moille,"La Moille, Ill.",,,,,,,Lorraine Stamberger 2,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
38,,,,,,,,,,,,Peoria Notre Dame,"Mapleton, Ill.",,,,,,,Kelsey Stockert 3,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
39,,,,,,,,,,,,Palatine,"Palatine, Ill.",,,,,,,Becca Sund 2,,,,,,,,,Jr.,,2013 Augustana Women\'s Cross Country Roster
40,,,,,,,,,,,,Pleasant Valley,"Bettendorf, Iowa",,,,,,,Brenna Whisler,,,,,,,,,Fr.,,2013 Augustana Women\'s Cross Country Roster
41,,,,*,,,,,,,,Zion Benton,"Winthrop Harbor, Ill.",,,,,,,Kristen Whiteside 3,,,,,,,,,Sr.,,2013 Augustana Women\'s Cross Country Roster
0,,,,,,,,,,,,Providence Catholic,"Plainfield, Ill.",5-5,,,,,,Brandon Price,1,,RB,,175,,,,Fr.,,2013 Augustana Football Roster
1,,,,,,,,,,,,Prospect,"Mt. Prospect, Ill.",5-11,,,,,,Sam Frasco 1,2,,QB,,175,,,,So.,,2013 Augustana Football Roster
2,,,,,,,,,,,,Mount Carmel,"Chicago, Ill.",5-10,,,,,,Connor Griffin,3,,DB,,185,,,,Fr.,,2013 Augustana Football Roster
3,,,,,,,,,,,,Bloomington Central Catholic,"Bloomington, Ill.",6-1,,,,,,Shane Powe,4,,DB,,210,,,,So.,,2013 Augustana Football Roster
4,,,,,,,,,,,,Woodstock North,"Wonder Lake, Ill.",6-1,,,,,,Brian Loftin,5D,,QB,,185,,,,Fr.,,2013 Augustana Football Roster
5,,,,,,,,,,,,Sierra Canyon,"Northridge, Calif.",5-10,,,,,,Caleb Nickels 2,5,,DB,,185,,,,Jr.,,2013 Augustana Football Roster
6,,,,,,,,,,,,Bloomington,"Bloomington, Ill.",6-1,,,,,,Torre Harrell 2,6,,WR,,165,,,,Jr.,,2013 Augustana Football Roster
7,,,,,,,,,,,,Viera,"Melbourne, Fla.",5-9,,,,,,Cam Milks,6D,,DB,,175,,,,Fr.,,2013 Augustana Football Roster
8,,,,,,,,,,,,Grayslake North,"Lake Villa, Ill.",5-10,,,,,,David Collins,7D,,WR,,185,,,,Fr.,,2013 Augustana Football Roster
9,,,,,,,,,,,,Annawan,"Annawan, Ill.",5-10,,,,,,Sean Walker 2,7,,DB,,190,,,,Sr.,,2013 Augustana Football Roster
10,,,,,,,,,,,,Carmel,"Lake Villa, Ill.",5-9,,,,,,Derrick McLean,8D,,DB,,165,,,,Fr.,,2013 Augustana Football Roster
11,,,,,,,,,,,,Moline,"Moline, Ill.",6-1,,,,,,Matt Roche,8,,DB,,190,,,,Fr.,,2013 Augustana Football Roster
12,,,,,,,,,,,,Waubonsie Valley,"Aurora, Ill.",6-0,,,,,,Eric Josupait 1,9,,WR,,180,,,,Jr.,,2013 Augustana Football Roster
13,,,,,,,,,,,,Plainfield East,"Romeoville, Ill.",5-11,,,,,,Marvin Agyeben,10D,,WR,,150,,,,Fr.,,2013 Augustana Football Roster
14,,,,,,,,,,,,Glenbard South,"Glen Ellyn, Ill.",5-11,,,,,,Tyler Padera,10,,QB,,191,,,,So.,,2013 Augustana Football Roster
15,,,,,,,,,,,,Amboy,"Amboy, Ill.",6-2,,,,,,Tyson Powers,11,,QB,,185,,,,Fr.,,2013 Augustana Football Roster
